date,category,amount,payment_method,description,month,month_num,day_of_week,is_weekend,week_of_year,transaction_id,quarter,week_part,expense_size,is_essential,cumulative_monthly_spend,day_of_month,vs_monthly_avg
2024-01-01,Food & Dining,1060,UPI,Street food,January,1,Monday,0,1,TXN1000,Q1 (Jan-Mar),Weekday,Medium (500-2000),Non-Essential,1060,1,-56.05
2024-01-01,Transportation,171,UPI,Metro card recharge,January,1,Monday,0,1,TXN1001,Q1 (Jan-Mar),Weekday,Small (<500),Non-Essential,1231,1,-92.91
2024-01-01,Utilities,2891,Debit Card,DTH recharge,January,1,Monday,0,1,TXN1002,Q1 (Jan-Mar),Weekday,Large (2000-5000),Essential,4122,1,19.88
2024-01-01,Rent,12000,Net Banking,Monthly rent,January,1,Monday,0,1,TXN1003,Q1 (Jan-Mar),Weekday,Very Large (5000+),Essential,16122,1,397.59
2024-01-02,Food & Dining,674,Credit Card,Swiggy delivery,January,1,Tuesday,0,1,TXN1004,Q1 (Jan-Mar),Weekday,Medium (500-2000),Non-Essential,16796,2,-72.05
2024-01-02,Transportation,749,UPI,Bus ticket,January,1,Tuesday,0,1,TXN1005,Q1 (Jan-Mar),Weekday,Medium (500-2000),Non-Essential,17545,2,-68.94
2024-01-02,Shopping,3505,UPI,Electronics,January,1,Tuesday,0,1,TXN1006,Q1 (Jan-Mar),Weekday,Large (2000-5000),Non-Essential,21050,2,45.34
2024-01-02,Health,4190,Debit Card,Doctor consultation,January,1,Tuesday,0,1,TXN1007,Q1 (Jan-Mar),Weekday,Large (2000-5000),Essential,25240,2,73.74
2024-01-02,Education,9792,Net Banking,Books,January,1,Tuesday,0,1,TXN1008,Q1 (Jan-Mar),Weekday,Very Large (5000+),Essential,35032,2,306.04
2024-01-02,Rent,12000,UPI,PG accommodation,January,1,Tuesday,0,1,TXN1009,Q1 (Jan-Mar),Weekday,Very Large (5000+),Essential,47032,2,397.59
2024-01-03,Food & Dining,234,Cash,Cafe coffee,January,1,Wednesday,0,1,TXN1010,Q1 (Jan-Mar),Weekday,Small (<500),Non-Essential,47266,3,-90.3
